id,rho_filename,ux_filename,uy_filename,uz_filename
-5634614311666768042,RHO_kgm-3_id-5634614311666768042.dat,UX_ms-1_id-5634614311666768042.dat,UY_ms-1_id-5634614311666768042.dat,UZ_ms-1_id-5634614311666768042.dat
-2337253536160728058,RHO_kgm-3_id-2337253536160728058.dat,UX_ms-1_id-2337253536160728058.dat,UY_ms-1_id-2337253536160728058.dat,UZ_ms-1_id-2337253536160728058.dat
-7056668419406715714,RHO_kgm-3_id-7056668419406715714.dat,UX_ms-1_id-7056668419406715714.dat,UY_ms-1_id-7056668419406715714.dat,UZ_ms-1_id-7056668419406715714.dat
-9138984573931233156,RHO_kgm-3_id-9138984573931233156.dat,UX_ms-1_id-9138984573931233156.dat,UY_ms-1_id-9138984573931233156.dat,UZ_ms-1_id-9138984573931233156.dat
2699082921033192879,RHO_kgm-3_id2699082921033192879.dat,UX_ms-1_id2699082921033192879.dat,UY_ms-1_id2699082921033192879.dat,UZ_ms-1_id2699082921033192879.dat
3330722686949715557,RHO_kgm-3_id3330722686949715557.dat,UX_ms-1_id3330722686949715557.dat,UY_ms-1_id3330722686949715557.dat,UZ_ms-1_id3330722686949715557.dat
1313570642506218913,RHO_kgm-3_id1313570642506218913.dat,UX_ms-1_id1313570642506218913.dat,UY_ms-1_id1313570642506218913.dat,UZ_ms-1_id1313570642506218913.dat
6396008125685336991,RHO_kgm-3_id6396008125685336991.dat,UX_ms-1_id6396008125685336991.dat,UY_ms-1_id6396008125685336991.dat,UZ_ms-1_id6396008125685336991.dat
-49936177748678147,RHO_kgm-3_id-49936177748678147.dat,UX_ms-1_id-49936177748678147.dat,UY_ms-1_id-49936177748678147.dat,UZ_ms-1_id-49936177748678147.dat
-8336668596634809503,RHO_kgm-3_id-8336668596634809503.dat,UX_ms-1_id-8336668596634809503.dat,UY_ms-1_id-8336668596634809503.dat,UZ_ms-1_id-8336668596634809503.dat
-7042788676244344718,RHO_kgm-3_id-7042788676244344718.dat,UX_ms-1_id-7042788676244344718.dat,UY_ms-1_id-7042788676244344718.dat,UZ_ms-1_id-7042788676244344718.dat
-7828511332909304244,RHO_kgm-3_id-7828511332909304244.dat,UX_ms-1_id-7828511332909304244.dat,UY_ms-1_id-7828511332909304244.dat,UZ_ms-1_id-7828511332909304244.dat
-8832875244744354308,RHO_kgm-3_id-8832875244744354308.dat,UX_ms-1_id-8832875244744354308.dat,UY_ms-1_id-8832875244744354308.dat,UZ_ms-1_id-8832875244744354308.dat
-6841975790244732029,RHO_kgm-3_id-6841975790244732029.dat,UX_ms-1_id-6841975790244732029.dat,UY_ms-1_id-6841975790244732029.dat,UZ_ms-1_id-6841975790244732029.dat
-2014207274184535318,RHO_kgm-3_id-2014207274184535318.dat,UX_ms-1_id-2014207274184535318.dat,UY_ms-1_id-2014207274184535318.dat,UZ_ms-1_id-2014207274184535318.dat
-2730461542292583916,RHO_kgm-3_id-2730461542292583916.dat,UX_ms-1_id-2730461542292583916.dat,UY_ms-1_id-2730461542292583916.dat,UZ_ms-1_id-2730461542292583916.dat
1340834713466304,RHO_kgm-3_id1340834713466304.dat,UX_ms-1_id1340834713466304.dat,UY_ms-1_id1340834713466304.dat,UZ_ms-1_id1340834713466304.dat
-7281237247494496827,RHO_kgm-3_id-7281237247494496827.dat,UX_ms-1_id-7281237247494496827.dat,UY_ms-1_id-7281237247494496827.dat,UZ_ms-1_id-7281237247494496827.dat
4087195013662849531,RHO_kgm-3_id4087195013662849531.dat,UX_ms-1_id4087195013662849531.dat,UY_ms-1_id4087195013662849531.dat,UZ_ms-1_id4087195013662849531.dat
-1821258744595324625,RHO_kgm-3_id-1821258744595324625.dat,UX_ms-1_id-1821258744595324625.dat,UY_ms-1_id-1821258744595324625.dat,UZ_ms-1_id-1821258744595324625.dat
-2218868494404827271,RHO_kgm-3_id-2218868494404827271.dat,UX_ms-1_id-2218868494404827271.dat,UY_ms-1_id-2218868494404827271.dat,UZ_ms-1_id-2218868494404827271.dat
5737536352120002681,RHO_kgm-3_id5737536352120002681.dat,UX_ms-1_id5737536352120002681.dat,UY_ms-1_id5737536352120002681.dat,UZ_ms-1_id5737536352120002681.dat
6776454246506967274,RHO_kgm-3_id6776454246506967274.dat,UX_ms-1_id6776454246506967274.dat,UY_ms-1_id6776454246506967274.dat,UZ_ms-1_id6776454246506967274.dat
-2010822039549293818,RHO_kgm-3_id-2010822039549293818.dat,UX_ms-1_id-2010822039549293818.dat,UY_ms-1_id-2010822039549293818.dat,UZ_ms-1_id-2010822039549293818.dat
-1495350255860081059,RHO_kgm-3_id-1495350255860081059.dat,UX_ms-1_id-1495350255860081059.dat,UY_ms-1_id-1495350255860081059.dat,UZ_ms-1_id-1495350255860081059.dat
-6061695449977913476,RHO_kgm-3_id-6061695449977913476.dat,UX_ms-1_id-6061695449977913476.dat,UY_ms-1_id-6061695449977913476.dat,UZ_ms-1_id-6061695449977913476.dat
-1495775065816189603,RHO_kgm-3_id-1495775065816189603.dat,UX_ms-1_id-1495775065816189603.dat,UY_ms-1_id-1495775065816189603.dat,UZ_ms-1_id-1495775065816189603.dat
-3696972528836250107,RHO_kgm-3_id-3696972528836250107.dat,UX_ms-1_id-3696972528836250107.dat,UY_ms-1_id-3696972528836250107.dat,UZ_ms-1_id-3696972528836250107.dat
2584290933836885383,RHO_kgm-3_id2584290933836885383.dat,UX_ms-1_id2584290933836885383.dat,UY_ms-1_id2584290933836885383.dat,UZ_ms-1_id2584290933836885383.dat
973511345572245535,RHO_kgm-3_id973511345572245535.dat,UX_ms-1_id973511345572245535.dat,UY_ms-1_id973511345572245535.dat,UZ_ms-1_id973511345572245535.dat
-5129056319684489899,RHO_kgm-3_id-5129056319684489899.dat,UX_ms-1_id-5129056319684489899.dat,UY_ms-1_id-5129056319684489899.dat,UZ_ms-1_id-5129056319684489899.dat
173901056504590355,RHO_kgm-3_id173901056504590355.dat,UX_ms-1_id173901056504590355.dat,UY_ms-1_id173901056504590355.dat,UZ_ms-1_id173901056504590355.dat
8942481239578797951,RHO_kgm-3_id8942481239578797951.dat,UX_ms-1_id8942481239578797951.dat,UY_ms-1_id8942481239578797951.dat,UZ_ms-1_id8942481239578797951.dat
6629004482990157403,RHO_kgm-3_id6629004482990157403.dat,UX_ms-1_id6629004482990157403.dat,UY_ms-1_id6629004482990157403.dat,UZ_ms-1_id6629004482990157403.dat
-961427268423219097,RHO_kgm-3_id-961427268423219097.dat,UX_ms-1_id-961427268423219097.dat,UY_ms-1_id-961427268423219097.dat,UZ_ms-1_id-961427268423219097.dat
1574974359713071661,RHO_kgm-3_id1574974359713071661.dat,UX_ms-1_id1574974359713071661.dat,UY_ms-1_id1574974359713071661.dat,UZ_ms-1_id1574974359713071661.dat
-5255479035041675202,RHO_kgm-3_id-5255479035041675202.dat,UX_ms-1_id-5255479035041675202.dat,UY_ms-1_id-5255479035041675202.dat,UZ_ms-1_id-5255479035041675202.dat
-1280933600240879823,RHO_kgm-3_id-1280933600240879823.dat,UX_ms-1_id-1280933600240879823.dat,UY_ms-1_id-1280933600240879823.dat,UZ_ms-1_id-1280933600240879823.dat
1497643433034261269,RHO_kgm-3_id1497643433034261269.dat,UX_ms-1_id1497643433034261269.dat,UY_ms-1_id1497643433034261269.dat,UZ_ms-1_id1497643433034261269.dat
8614056230109698783,RHO_kgm-3_id8614056230109698783.dat,UX_ms-1_id8614056230109698783.dat,UY_ms-1_id8614056230109698783.dat,UZ_ms-1_id8614056230109698783.dat
-9209558812494734747,RHO_kgm-3_id-9209558812494734747.dat,UX_ms-1_id-9209558812494734747.dat,UY_ms-1_id-9209558812494734747.dat,UZ_ms-1_id-9209558812494734747.dat
-6086167418410536982,RHO_kgm-3_id-6086167418410536982.dat,UX_ms-1_id-6086167418410536982.dat,UY_ms-1_id-6086167418410536982.dat,UZ_ms-1_id-6086167418410536982.dat
-1435632277450672515,RHO_kgm-3_id-1435632277450672515.dat,UX_ms-1_id-1435632277450672515.dat,UY_ms-1_id-1435632277450672515.dat,UZ_ms-1_id-1435632277450672515.dat
2487195833733430052,RHO_kgm-3_id2487195833733430052.dat,UX_ms-1_id2487195833733430052.dat,UY_ms-1_id2487195833733430052.dat,UZ_ms-1_id2487195833733430052.dat
5896737351695609994,RHO_kgm-3_id5896737351695609994.dat,UX_ms-1_id5896737351695609994.dat,UY_ms-1_id5896737351695609994.dat,UZ_ms-1_id5896737351695609994.dat
-554358172579950267,RHO_kgm-3_id-554358172579950267.dat,UX_ms-1_id-554358172579950267.dat,UY_ms-1_id-554358172579950267.dat,UZ_ms-1_id-554358172579950267.dat
2433132475049225153,RHO_kgm-3_id2433132475049225153.dat,UX_ms-1_id2433132475049225153.dat,UY_ms-1_id2433132475049225153.dat,UZ_ms-1_id2433132475049225153.dat
1256083726752558172,RHO_kgm-3_id1256083726752558172.dat,UX_ms-1_id1256083726752558172.dat,UY_ms-1_id1256083726752558172.dat,UZ_ms-1_id1256083726752558172.dat
-8336881001612863775,RHO_kgm-3_id-8336881001612863775.dat,UX_ms-1_id-8336881001612863775.dat,UY_ms-1_id-8336881001612863775.dat,UZ_ms-1_id-8336881001612863775.dat
-2129435842142221283,RHO_kgm-3_id-2129435842142221283.dat,UX_ms-1_id-2129435842142221283.dat,UY_ms-1_id-2129435842142221283.dat,UZ_ms-1_id-2129435842142221283.dat
6102114886353704293,RHO_kgm-3_id6102114886353704293.dat,UX_ms-1_id6102114886353704293.dat,UY_ms-1_id6102114886353704293.dat,UZ_ms-1_id6102114886353704293.dat
2580712202281162309,RHO_kgm-3_id2580712202281162309.dat,UX_ms-1_id2580712202281162309.dat,UY_ms-1_id2580712202281162309.dat,UZ_ms-1_id2580712202281162309.dat
2021371374000524389,RHO_kgm-3_id2021371374000524389.dat,UX_ms-1_id2021371374000524389.dat,UY_ms-1_id2021371374000524389.dat,UZ_ms-1_id2021371374000524389.dat
7441707472119646000,RHO_kgm-3_id7441707472119646000.dat,UX_ms-1_id7441707472119646000.dat,UY_ms-1_id7441707472119646000.dat,UZ_ms-1_id7441707472119646000.dat
-3266113302428176054,RHO_kgm-3_id-3266113302428176054.dat,UX_ms-1_id-3266113302428176054.dat,UY_ms-1_id-3266113302428176054.dat,UZ_ms-1_id-3266113302428176054.dat
-3203476696368631826,RHO_kgm-3_id-3203476696368631826.dat,UX_ms-1_id-3203476696368631826.dat,UY_ms-1_id-3203476696368631826.dat,UZ_ms-1_id-3203476696368631826.dat
-5201810626751751199,RHO_kgm-3_id-5201810626751751199.dat,UX_ms-1_id-5201810626751751199.dat,UY_ms-1_id-5201810626751751199.dat,UZ_ms-1_id-5201810626751751199.dat
1638870499769827165,RHO_kgm-3_id1638870499769827165.dat,UX_ms-1_id1638870499769827165.dat,UY_ms-1_id1638870499769827165.dat,UZ_ms-1_id1638870499769827165.dat
6061771479849041027,RHO_kgm-3_id6061771479849041027.dat,UX_ms-1_id6061771479849041027.dat,UY_ms-1_id6061771479849041027.dat,UZ_ms-1_id6061771479849041027.dat
-4464211738187310845,RHO_kgm-3_id-4464211738187310845.dat,UX_ms-1_id-4464211738187310845.dat,UY_ms-1_id-4464211738187310845.dat,UZ_ms-1_id-4464211738187310845.dat
-4629783416978803107,RHO_kgm-3_id-4629783416978803107.dat,UX_ms-1_id-4629783416978803107.dat,UY_ms-1_id-4629783416978803107.dat,UZ_ms-1_id-4629783416978803107.dat
-2822353062336137073,RHO_kgm-3_id-2822353062336137073.dat,UX_ms-1_id-2822353062336137073.dat,UY_ms-1_id-2822353062336137073.dat,UZ_ms-1_id-2822353062336137073.dat
5589309002341381985,RHO_kgm-3_id5589309002341381985.dat,UX_ms-1_id5589309002341381985.dat,UY_ms-1_id5589309002341381985.dat,UZ_ms-1_id5589309002341381985.dat
6159424569865639389,RHO_kgm-3_id6159424569865639389.dat,UX_ms-1_id6159424569865639389.dat,UY_ms-1_id6159424569865639389.dat,UZ_ms-1_id6159424569865639389.dat
2981155020903860323,RHO_kgm-3_id2981155020903860323.dat,UX_ms-1_id2981155020903860323.dat,UY_ms-1_id2981155020903860323.dat,UZ_ms-1_id2981155020903860323.dat
2898478267876888707,RHO_kgm-3_id2898478267876888707.dat,UX_ms-1_id2898478267876888707.dat,UY_ms-1_id2898478267876888707.dat,UZ_ms-1_id2898478267876888707.dat
-2290799820622771323,RHO_kgm-3_id-2290799820622771323.dat,UX_ms-1_id-2290799820622771323.dat,UY_ms-1_id-2290799820622771323.dat,UZ_ms-1_id-2290799820622771323.dat
9153267877650679701,RHO_kgm-3_id9153267877650679701.dat,UX_ms-1_id9153267877650679701.dat,UY_ms-1_id9153267877650679701.dat,UZ_ms-1_id9153267877650679701.dat
5155993451072792952,RHO_kgm-3_id5155993451072792952.dat,UX_ms-1_id5155993451072792952.dat,UY_ms-1_id5155993451072792952.dat,UZ_ms-1_id5155993451072792952.dat
-1309535222586604327,RHO_kgm-3_id-1309535222586604327.dat,UX_ms-1_id-1309535222586604327.dat,UY_ms-1_id-1309535222586604327.dat,UZ_ms-1_id-1309535222586604327.dat
1045544753488508376,RHO_kgm-3_id1045544753488508376.dat,UX_ms-1_id1045544753488508376.dat,UY_ms-1_id1045544753488508376.dat,UZ_ms-1_id1045544753488508376.dat
-5246357181659045696,RHO_kgm-3_id-5246357181659045696.dat,UX_ms-1_id-5246357181659045696.dat,UY_ms-1_id-5246357181659045696.dat,UZ_ms-1_id-5246357181659045696.dat
-7579888376776124199,RHO_kgm-3_id-7579888376776124199.dat,UX_ms-1_id-7579888376776124199.dat,UY_ms-1_id-7579888376776124199.dat,UZ_ms-1_id-7579888376776124199.dat
-5400149077650612374,RHO_kgm-3_id-5400149077650612374.dat,UX_ms-1_id-5400149077650612374.dat,UY_ms-1_id-5400149077650612374.dat,UZ_ms-1_id-5400149077650612374.dat
5494065415497804575,RHO_kgm-3_id5494065415497804575.dat,UX_ms-1_id5494065415497804575.dat,UY_ms-1_id5494065415497804575.dat,UZ_ms-1_id5494065415497804575.dat
281310694763253133,RHO_kgm-3_id281310694763253133.dat,UX_ms-1_id281310694763253133.dat,UY_ms-1_id281310694763253133.dat,UZ_ms-1_id281310694763253133.dat
5599603611457090814,RHO_kgm-3_id5599603611457090814.dat,UX_ms-1_id5599603611457090814.dat,UY_ms-1_id5599603611457090814.dat,UZ_ms-1_id5599603611457090814.dat
5156205855710340856,RHO_kgm-3_id5156205855710340856.dat,UX_ms-1_id5156205855710340856.dat,UY_ms-1_id5156205855710340856.dat,UZ_ms-1_id5156205855710340856.dat
-251943246932658027,RHO_kgm-3_id-251943246932658027.dat,UX_ms-1_id-251943246932658027.dat,UY_ms-1_id-251943246932658027.dat,UZ_ms-1_id-251943246932658027.dat
-1918512901941764743,RHO_kgm-3_id-1918512901941764743.dat,UX_ms-1_id-1918512901941764743.dat,UY_ms-1_id-1918512901941764743.dat,UZ_ms-1_id-1918512901941764743.dat
-9070460726546344681,RHO_kgm-3_id-9070460726546344681.dat,UX_ms-1_id-9070460726546344681.dat,UY_ms-1_id-9070460726546344681.dat,UZ_ms-1_id-9070460726546344681.dat
-3139508551720094127,RHO_kgm-3_id-3139508551720094127.dat,UX_ms-1_id-3139508551720094127.dat,UY_ms-1_id-3139508551720094127.dat,UZ_ms-1_id-3139508551720094127.dat
-4116370046802379372,RHO_kgm-3_id-4116370046802379372.dat,UX_ms-1_id-4116370046802379372.dat,UY_ms-1_id-4116370046802379372.dat,UZ_ms-1_id-4116370046802379372.dat
6107206677016207304,RHO_kgm-3_id6107206677016207304.dat,UX_ms-1_id6107206677016207304.dat,UY_ms-1_id6107206677016207304.dat,UZ_ms-1_id6107206677016207304.dat
7441919877097700272,RHO_kgm-3_id7441919877097700272.dat,UX_ms-1_id7441919877097700272.dat,UY_ms-1_id7441919877097700272.dat,UZ_ms-1_id7441919877097700272.dat
7328831077324034154,RHO_kgm-3_id7328831077324034154.dat,UX_ms-1_id7328831077324034154.dat,UY_ms-1_id7328831077324034154.dat,UZ_ms-1_id7328831077324034154.dat
-4014452977608111638,RHO_kgm-3_id-4014452977608111638.dat,UX_ms-1_id-4014452977608111638.dat,UY_ms-1_id-4014452977608111638.dat,UZ_ms-1_id-4014452977608111638.dat
1618756156696897354,RHO_kgm-3_id1618756156696897354.dat,UX_ms-1_id1618756156696897354.dat,UY_ms-1_id1618756156696897354.dat,UZ_ms-1_id1618756156696897354.dat
4392279402207542863,RHO_kgm-3_id4392279402207542863.dat,UX_ms-1_id4392279402207542863.dat,UY_ms-1_id4392279402207542863.dat,UZ_ms-1_id4392279402207542863.dat
1173714356635554702,RHO_kgm-3_id1173714356635554702.dat,UX_ms-1_id1173714356635554702.dat,UY_ms-1_id1173714356635554702.dat,UZ_ms-1_id1173714356635554702.dat
-3604054824175083674,RHO_kgm-3_id-3604054824175083674.dat,UX_ms-1_id-3604054824175083674.dat,UY_ms-1_id-3604054824175083674.dat,UZ_ms-1_id-3604054824175083674.dat
6219179886790076815,RHO_kgm-3_id6219179886790076815.dat,UX_ms-1_id6219179886790076815.dat,UY_ms-1_id6219179886790076815.dat,UZ_ms-1_id6219179886790076815.dat
7441919876927447088,RHO_kgm-3_id7441919876927447088.dat,UX_ms-1_id7441919876927447088.dat,UY_ms-1_id7441919876927447088.dat,UZ_ms-1_id7441919876927447088.dat
3211018847338954713,RHO_kgm-3_id3211018847338954713.dat,UX_ms-1_id3211018847338954713.dat,UY_ms-1_id3211018847338954713.dat,UZ_ms-1_id3211018847338954713.dat
7254112893967433734,RHO_kgm-3_id7254112893967433734.dat,UX_ms-1_id7254112893967433734.dat,UY_ms-1_id7254112893967433734.dat,UZ_ms-1_id7254112893967433734.dat
-1017932628623562391,RHO_kgm-3_id-1017932628623562391.dat,UX_ms-1_id-1017932628623562391.dat,UY_ms-1_id-1017932628623562391.dat,UZ_ms-1_id-1017932628623562391.dat
